,(0  1  2),(0  1  3),(0  1  4),(0  1  5),(0  1  6),(0  2  4),(0  2  5),(0  2  6),(0  2  7),(0  3  6),(0  3  7),(0  4  8),(0  1  2  3),(0  1  2  4),(0  1  2  5),(0  1  2  6),(0  1  2  7),(0  1  3  4),(0  1  3  5),(0  1  3  6),(0  1  3  7),(0  1  4  5),(0  1  4  6),(0  1  4  7),(0  1  4  8),(0  1  5  6),(0  1  5  7),(0  1  5  8),(0  1  6  7),(0  2  3  5),(0  2  3  6),(0  2  3  7),(0  2  4  6),(0  2  4  7),(0  2  4  8),(0  2  5  7),(0  2  5  8),(0  2  6  8),(0  3  4  7),(0  3  5  8),(0  3  6  9),(0  1  2  3  4),(0  1  2  3  5),(0  1  2  3  6),(0  1  2  3  7),(0  1  2  4  5),(0  1  2  4  6),(0  1  2  4  7),(0  1  2  4  8),(0  1  2  5  6),(0  1  2  5  7),(0  1  2  5  8),(0  1  2  6  7),(0  1  2  6  8),(0  1  3  4  6),(0  1  3  4  7),(0  1  3  4  8),(0  1  3  5  6),(0  1  3  5  7),(0  1  3  5  8),(0  1  3  6  7),(0  1  3  6  8),(0  1  3  6  9),(0  1  3  7  8),(0  1  4  5  7),(0  1  4  5  8),(0  1  4  6  8),(0  1  4  6  9),(0  1  4  7  8),(0  2  3  4  6),(0  2  3  4  7),(0  2  3  5  7),(0  2  3  5  8),(0  2  3  6  8),(0  2  4  5  8),(0  2  4  6  8),(0  2  4  6  9),(0  2  4  7  9),(0  3  4  5  8),(0  1  2  3  4  5),(0  1  2  3  4  6),(0  1  2  3  4  7),(0  1  2  3  4  8),(0  1  2  3  5  6),(0  1  2  3  5  7),(0  1  2  3  5  8),(0  1  2  3  6  7),(0  1  2  3  6  8),(0  1  2  3  6  9),(0  1  2  3  7  8),(0  1  2  4  5  6),(0  1  2  4  5  7),(0  1  2  4  5  8),(0  1  2  4  6  7),(0  1  2  4  6  8),(0  1  2  4  6  9),(0  1  2  4  7  8),(0  1  2  4  7  9),(0  1  2  5  6  7),(0  1  2  5  6  8),(0  1  2  5  6  9),(0  1  2  5  7  8),(0  1  2  5  7  9),(0  1  2  6  7  8),(0  1  3  4  5  7),(0  1  3  4  5  8),(0  1  3  4  6  7),(0  1  3  4  6  8),(0  1  3  4  6  9),(0  1  3  4  7  8),(0  1  3  4  7  9),(0  1  3  5  6  8),(0  1  3  5  6  9),(0  1  3  5  7  8),(0  1  3  5  7  9),(0  1  3  5  8  9),(0  1  3  6  7  9),(0  1  3  6  8  9),(0  1  4  5  6  8),(0  1  4  5  8  9),(0  1  4  6  7  9),(0  2  3  4  5  7),(0  2  3  4  5  8),(0  2  3  4  6  8),(0  2  3  4  6  9),(0  2  3  5  6  8),(0  2  3  5  7  9),(0  2  4  5  7  9),(0  2  4  6  8  10),(0  1  2  3  4  5  6),(0  1  2  3  4  5  7),(0  1  2  3  4  5  8),(0  1  2  3  4  6  7),(0  1  2  3  4  6  8),(0  1  2  3  4  6  9),(0  1  2  3  4  7  8),(0  1  2  3  4  7  9),(0  1  2  3  5  6  7),(0  1  2  3  5  6  8),(0  1  2  3  5  6  9),(0  1  2  3  5  7  8),(0  1  2  3  5  7  9),(0  1  2  3  5  8  9),(0  1  2  3  6  7  8),(0  1  2  3  6  7  9),(0  1  2  4  5  6  8),(0  1  2  4  5  6  9),(0  1  2  4  5  7  8),(0  1  2  4  5  7  9),(0  1  2  4  5  8  9),(0  1  2  4  6  7  8),(0  1  2  4  6  7  9),(0  1  2  4  6  8  9),(0  1  2  4  6  8  10),(0  1  2  4  7  8  9),(0  1  2  5  6  8  9),(0  1  3  4  5  6  8),(0  1  3  4  5  7  8),(0  1  3  4  5  7  9),(0  1  3  4  6  7  9),(0  1  3  4  6  8  9),(0  1  3  4  6  8  10),(0  1  3  5  6  7  9),(0  1  3  5  6  8  10),(0  2  3  4  5  6  8),(0  2  3  4  5  7  9),(0  2  3  4  6  7  9),(0  1  2  3  4  5  6  7),(0  1  2  3  4  5  6  8),(0  1  2  3  4  5  6  9),(0  1  2  3  4  5  7  8),(0  1  2  3  4  5  7  9),(0  1  2  3  4  5  8  9),(0  1  2  3  4  6  7  8),(0  1  2  3  4  6  7  9),(0  1  2  3  4  6  8  9),(0  1  2  3  4  6  8  10),(0  1  2  3  4  7  8  9),(0  1  2  3  5  6  7  8),(0  1  2  3  5  6  7  9),(0  1  2  3  5  6  8  9),(0  1  2  3  5  6  8  10),(0  1  2  3  5  7  8  9),(0  1  2  3  5  7  8  10),(0  1  2  3  6  7  8  9),(0  1  2  4  5  6  7  9),(0  1  2  4  5  6  8  9),(0  1  2  4  5  6  8  10),(0  1  2  4  5  7  8  9),(0  1  2  4  5  7  8  10),(0  1  2  4  5  7  9  10),(0  1  2  4  6  7  8  10),(0  1  3  4  5  6  7  9),(0  1  3  4  5  6  8  9),(0  1  3  4  6  7  9  10),(0  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  7  8),(0  1  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  8  9),(0  1  2  3  4  5  6  8  10),(0  1  2  3  4  5  7  8  9),(0  1  2  3  4  5  7  8  10),(0  1  2  3  4  6  7  8  9),(0  1  2  3  4  6  7  8  10),(0  1  2  3  4  6  7  9  10),(0  1  2  3  5  6  7  8  10),(0  1  2  3  5  6  7  9  10),(0  1  2  4  5  6  8  9  10),(0  1  2  3  4  5  6  7  8  9),(0  1  2  3  4  5  6  7  8  10),(0  1  2  3  4  5  6  7  9  10),(0  1  2  3  4  5  6  8  9  10),(0  1  2  3  4  5  7  8  9  10),(0  1  2  3  4  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10  11)
15/i,7.58,2.48,3.43,2.17,3.25,0.50,1.17,1.26,0.36,0.72,1.31,0.14,4.83,1.67,2.12,2.89,0.63,1.31,0.32,1.17,1.08,0.72,0.59,0.72,0.59,0.41,0.68,1.08,0.41,0.09,1.17,0.23,0.14,0.09,0.09,0.32,0.09,0.23,0.14,0.00,0.00,2.39,1.08,3.07,1.58,1.49,0.63,0.23,0.63,0.77,0.54,0.81,1.62,0.59,0.36,1.49,0.05,0.05,0.09,0.09,1.49,0.45,0.05,0.09,0.36,0.72,0.05,0.00,0.00,0.18,0.18,0.00,0.00,0.05,0.05,0.23,0.00,0.14,0.36,1.04,1.81,0.99,0.32,0.95,0.09,0.27,1.35,0.27,0.18,0.18,0.77,0.05,0.23,0.23,0.63,0.00,0.14,0.50,0.23,0.23,0.09,0.50,0.14,0.63,0.36,0.23,0.45,0.00,0.00,0.05,0.23,0.09,0.00,0.05,0.00,0.27,0.00,0.14,0.23,0.09,0.00,0.05,0.32,0.05,0.00,0.05,0.00,0.00,0.00,0.90,0.63,0.45,0.90,0.05,0.05,0.32,0.05,0.72,0.18,0.27,0.05,0.05,0.27,1.04,0.36,0.18,0.05,0.05,0.14,0.09,0.27,0.00,0.14,0.05,0.36,0.00,0.14,0.09,0.00,0.14,0.09,0.00,0.00,0.00,0.05,0.00,0.09,1.04,0.45,0.05,0.36,0.00,0.00,0.68,0.14,0.14,0.00,0.36,0.72,0.23,0.14,0.00,0.18,0.00,0.23,0.00,0.05,0.00,0.14,0.00,0.05,0.00,0.05,0.09,0.00,0.00,0.27,0.14,0.05,0.00,0.27,0.05,0.99,0.00,0.00,0.27,0.05,0.00,0.05,0.05,0.00,0.00,0.14,0.00,0.00,0.00
15/iii,2.84,2.65,6.04,2.16,2.28,0.43,0.74,1.11,0.25,0.37,0.49,0.12,1.17,1.79,1.73,1.05,0.31,1.48,0.55,0.37,0.68,1.48,0.92,0.80,0.74,0.92,0.37,0.12,0.12,0.25,1.23,0.55,0.18,0.25,0.00,0.06,0.18,0.12,0.68,0.00,0.00,1.29,0.43,1.29,0.55,1.29,0.06,0.80,0.37,2.10,0.25,0.06,0.62,0.12,1.85,1.11,1.05,0.12,0.06,0.31,0.31,0.06,0.06,0.18,0.92,0.86,0.00,0.18,0.74,0.99,0.37,0.25,0.12,0.12,0.00,0.00,0.00,0.00,0.00,1.48,0.74,0.25,0.62,0.80,0.00,0.00,0.25,0.62,0.12,0.00,0.62,1.11,0.37,0.06,0.06,0.06,0.49,0.49,0.18,0.25,0.55,0.55,0.00,0.00,0.80,0.92,0.37,0.06,0.25,1.17,0.06,0.00,0.12,0.00,0.00,0.00,0.12,0.06,0.86,0.37,0.00,0.12,0.25,0.12,0.06,0.55,0.00,0.00,0.00,1.23,0.86,1.17,0.99,0.31,0.06,0.43,0.00,0.37,0.74,0.49,0.00,0.06,0.00,0.00,0.55,1.85,0.18,0.99,0.00,0.99,0.06,0.00,0.06,0.00,0.80,0.12,0.49,0.12,0.06,0.12,0.43,0.00,0.12,0.00,0.62,0.00,0.06,0.80,1.42,0.00,1.23,0.00,1.36,0.92,0.37,0.80,0.06,0.06,0.00,0.25,0.62,0.00,0.00,0.00,0.00,0.31,0.12,0.25,0.06,0.31,0.00,0.00,0.00,0.86,0.00,0.00,0.55,0.55,0.68,0.00,0.18,0.00,0.06,0.00,0.12,0.06,0.55,0.00,0.00,0.00,0.00,0.55,0.00,0.00,0.00,0.00
15/ii,3.93,2.52,4.58,2.47,2.35,0.35,0.18,0.53,0.12,0.35,0.70,0.23,1.64,2.64,1.17,1.00,0.53,1.41,0.23,0.35,0.53,1.64,0.76,0.70,0.94,0.65,0.12,0.12,0.41,0.12,0.88,0.59,0.06,0.00,0.06,0.00,0.18,0.00,0.35,0.06,0.00,2.00,0.94,0.76,1.29,2.41,0.12,0.76,0.53,1.35,0.00,0.06,0.59,0.06,0.47,1.23,0.29,1.00,0.00,0.06,0.41,0.00,0.12,0.12,0.35,0.76,0.12,0.12,0.41,0.82,0.18,0.00,0.00,0.12,0.12,0.00,0.06,0.00,0.29,2.64,1.06,1.88,0.41,0.35,0.00,0.35,1.00,0.06,0.00,0.23,0.47,0.06,1.64,0.76,0.18,0.00,0.29,0.12,0.18,0.06,0.76,0.29,0.06,0.00,0.53,0.47,0.18,0.00,0.06,0.47,0.29,0.00,0.12,0.06,0.00,0.00,0.06,0.06,0.12,0.12,0.00,0.00,0.53,0.12,0.12,0.12,0.00,0.00,0.00,1.53,1.00,1.70,1.00,0.18,0.41,1.17,0.23,0.29,0.00,0.59,0.35,0.18,0.23,0.29,0.12,0.59,0.59,0.18,0.00,0.76,0.00,0.12,0.00,0.00,0.29,0.06,0.06,0.12,0.06,0.23,0.18,0.00,0.12,0.00,0.53,0.00,0.00,0.59,0.88,0.70,0.94,0.35,0.47,0.94,0.47,0.29,0.12,0.29,0.12,0.47,0.35,0.00,0.00,0.00,0.00,0.18,1.06,0.00,0.18,0.00,0.00,0.00,0.35,0.41,0.00,0.00,1.53,0.70,1.53,0.12,0.47,0.00,1.70,0.00,0.00,0.00,0.29,0.29,0.23,0.00,0.06,0.41,0.35,0.00,0.29,0.06
15/iv,2.61,2.97,4.39,2.38,2.38,0.36,1.19,0.59,0.12,0.95,0.36,0.59,1.90,1.19,3.09,1.43,0.36,1.19,0.48,0.59,0.48,1.19,1.07,0.71,0.95,0.71,0.71,0.12,0.12,0.48,1.66,0.48,0.00,0.24,0.36,0.12,0.00,0.00,0.36,0.00,0.12,1.43,1.54,2.26,0.71,0.59,0.36,0.12,0.48,2.14,0.83,0.36,0.24,0.48,1.31,0.48,0.24,0.00,0.24,0.00,0.36,0.48,0.48,0.12,0.95,0.36,0.83,0.36,0.36,0.00,0.24,0.24,0.12,0.00,0.36,0.00,0.00,0.00,0.48,0.48,1.66,1.19,0.48,1.31,0.12,0.24,0.48,0.71,0.36,0.12,0.36,1.19,0.59,0.00,0.59,0.12,0.24,0.00,0.36,0.95,0.83,0.12,0.48,0.00,0.00,0.00,0.36,0.71,0.00,0.71,0.24,0.00,0.00,0.00,0.00,0.12,0.24,0.59,0.12,0.00,0.24,0.24,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.83,0.36,0.83,0.48,0.36,0.95,0.36,0.83,1.19,0.59,0.00,0.12,0.00,0.24,1.31,0.12,0.12,2.14,0.12,0.00,0.00,0.12,0.00,0.00,0.36,0.71,0.24,0.00,0.12,0.00,0.48,0.00,0.00,0.00,0.24,0.00,0.00,0.83,0.36,0.12,0.36,0.00,0.00,0.71,0.36,0.36,0.00,0.59,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.24,0.12,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.24,0.24,0.95,0.00,0.12,0.00,0.36,0.00,0.24,0.00,0.00,0.00,1.31,0.00,0.24,0.00,0.00,0.12,0.83,0.00
16/ii,2.45,4.41,7.84,4.90,0.49,0.49,0.98,0.98,0.00,0.49,0.98,0.00,0.98,3.43,3.43,1.47,0.49,1.96,1.47,0.49,0.49,1.96,0.49,0.98,0.00,1.47,0.49,0.00,0.00,0.00,0.98,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.49,0.00,1.96,1.96,0.98,0.49,3.92,0.49,0.00,0.00,2.45,0.49,1.47,0.49,0.49,0.49,0.98,0.00,0.49,0.49,0.49,0.00,0.00,0.00,0.49,1.96,0.00,0.00,0.49,0.00,0.00,0.98,0.49,0.49,0.00,0.00,0.00,0.00,0.00,0.00,3.43,0.98,1.47,0.00,0.98,0.49,0.00,0.98,0.00,0.00,0.00,1.96,0.98,0.00,0.98,0.00,0.49,0.00,0.49,0.98,1.96,0.00,0.49,0.00,0.00,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.49,0.00,0.49,0.00,0.98,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.49,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.49,1.96,0.49,0.00,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16/iii,2.78,3.24,5.56,1.39,3.24,0.00,0.46,0.46,0.46,1.39,0.46,0.46,3.24,1.39,0.93,0.93,1.85,2.78,0.00,0.00,0.93,0.46,0.93,0.00,1.39,0.46,0.46,0.00,0.93,0.00,2.31,0.46,0.00,0.00,0.00,0.00,1.39,0.00,0.00,0.00,0.00,7.41,0.00,0.93,6.02,1.39,0.00,0.00,0.00,0.00,0.46,0.00,5.56,0.00,0.93,0.46,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.93,0.46,0.00,0.00,0.93,1.39,0.00,0.00,0.00,0.00,2.78,4.63,1.85,0.93,0.46,0.00,0.00,1.39,0.00,0.00,0.93,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.93,0.46,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.93,0.00,0.00,0.00,0.00,0.00,3.24,0.46,0.93,0.00,0.46,0.00,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16/iv,0.90,1.63,2.35,1.27,0.90,0.18,0.36,0.18,0.00,0.00,0.54,0.18,0.90,1.08,0.54,0.36,0.18,0.54,0.54,0.18,0.36,0.54,0.54,0.36,0.54,0.54,0.00,0.18,0.18,0.18,0.00,0.18,0.00,0.18,0.00,0.00,0.18,0.00,0.18,0.00,0.00,1.08,0.36,0.90,0.36,0.54,0.54,0.36,0.36,0.54,0.00,0.18,0.18,0.00,0.18,0.00,0.00,0.18,0.00,0.18,0.54,0.18,0.00,0.36,0.00,0.54,0.54,0.00,0.18,0.00,0.18,0.36,0.18,0.00,0.00,0.00,0.00,0.00,0.18,0.54,0.54,0.90,0.18,0.00,0.72,0.36,0.00,0.00,0.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.72,0.00,0.00,0.18,0.54,0.18,0.00,0.00,0.00,0.18,0.18,0.00,0.00,0.18,0.00,1.08,0.00,0.00,0.00,0.36,0.00,0.00,1.81,0.18,0.18,0.00,0.18,0.00,0.00,0.00,0.18,0.00,0.00,0.54,0.36,0.36,0.00,1.08,0.18,0.54,0.00,0.00,0.00,0.00,0.36,0.54,1.08,0.00,0.18,0.00,0.18,0.72,0.00,1.08,0.18,0.54,0.00,0.00,1.08,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.54,0.00,0.18,0.00,0.00,0.18,1.27,0.00,1.08,1.81,0.00,0.00,0.54,0.54,0.18,0.00,0.00,0.18,1.27,1.08,0.90,0.00,0.72,0.72,0.00,1.45,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.36,0.90,4.34,5.42,1.45,0.36,0.36,0.18,1.27,0.72,0.00,3.89,4.70,0.90,0.72,2.53,1.08,9.86,1.81
16/v,1.42,1.74,1.37,0.74,2.48,0.05,0.00,0.16,0.00,0.32,0.16,0.00,1.27,0.47,0.16,0.16,0.90,0.74,0.21,0.16,0.63,0.42,0.16,0.79,0.16,0.42,0.32,0.00,0.47,0.00,0.63,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.79,0.16,0.16,1.05,0.74,0.21,0.16,0.00,0.26,0.16,0.00,1.21,0.00,0.16,0.79,0.42,0.16,0.16,0.00,0.47,0.00,0.47,0.00,0.47,0.16,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.47,0.11,0.47,0.16,0.58,0.95,0.00,0.90,0.00,0.00,0.63,0.32,0.32,0.00,0.16,0.00,0.00,0.32,0.00,0.47,0.47,0.00,0.00,0.00,0.00,0.16,0.58,0.32,0.00,0.79,0.63,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.84,0.00,0.26,0.16,0.00,1.32,0.00,6.85,0.00,0.63,0.00,0.00,0.32,0.90,0.00,0.47,0.16,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.58,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,1.58,0.63,2.42,0.00,0.00,0.69,0.00,0.32,0.00,0.00,1.58,0.00,0.63,0.00,0.42,0.00,0.16,0.53,0.16,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,4.69,1.11,3.80,0.00,0.95,0.00,2.21,0.21,0.00,0.16,0.21,0.00,6.75,0.90,0.32,0.00,2.27,0.32,10.96,5.17
16/i,1.11,0.96,4.57,1.49,0.87,0.24,0.14,0.34,0.00,0.24,0.00,0.29,0.77,0.77,1.40,0.43,0.00,1.06,0.43,0.14,0.00,0.91,0.34,0.05,1.20,0.58,0.29,0.00,0.29,0.00,0.67,0.00,0.14,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.96,0.00,0.87,0.14,0.00,0.19,1.88,0.00,0.14,0.87,0.00,0.29,0.00,0.10,0.34,0.14,0.00,0.00,0.00,0.29,0.00,0.19,0.43,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.14,0.00,0.00,1.40,1.49,0.48,0.00,0.29,1.73,0.00,0.00,0.14,0.00,1.20,0.00,0.14,0.14,0.14,0.72,0.14,0.00,0.00,0.00,0.87,0.14,1.30,0.00,0.00,0.00,0.00,0.19,0.00,0.05,0.14,0.00,0.00,0.00,0.19,0.00,0.29,0.05,0.00,0.05,0.00,0.14,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.00,3.95,0.00,1.25,0.00,0.00,0.00,0.00,0.00,2.31,0.14,4.43,0.00,0.58,0.00,0.14,0.34,0.00,0.58,0.00,0.00,0.58,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.29,0.00,0.00,0.00,0.00,1.88,0.14,7.41,0.00,0.00,0.14,0.87,0.00,0.19,0.00,0.00,4.91,1.44,0.00,0.00,1.30,0.00,0.14,0.00,0.14,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.02,0.14,0.43,0.00,0.43,0.00,3.80,0.00,0.00,0.00,0.14,0.00,4.96,1.06,0.19,0.14,0.00,0.00,0.72,0.14
17/i,3.97,0.73,2.44,3.18,4.61,0.06,0.28,0.64,0.12,0.75,0.32,0.08,1.11,1.19,1.79,2.70,1.65,0.36,0.06,0.52,0.38,2.82,0.34,0.08,0.56,0.93,0.24,0.02,0.22,0.12,0.38,0.06,0.00,0.00,0.02,0.00,0.04,0.00,0.36,0.00,0.00,0.50,0.34,4.98,2.24,0.62,0.20,0.18,0.34,3.57,0.40,0.91,1.53,0.00,0.24,0.56,0.08,0.14,0.00,0.00,0.28,0.02,0.00,0.44,0.52,0.14,0.06,0.10,0.22,1.85,0.26,0.00,0.12,0.06,0.04,0.00,0.00,0.00,0.64,0.32,0.30,0.36,0.36,1.43,0.02,0.00,1.67,0.08,0.14,0.75,0.81,1.01,0.20,0.22,0.16,0.00,0.14,0.00,1.13,0.52,1.11,0.18,0.00,0.00,0.40,0.32,0.66,0.08,0.12,0.02,0.10,0.32,0.00,0.00,0.00,0.06,0.02,0.00,0.20,0.02,0.12,0.18,0.10,0.02,0.00,0.02,0.00,0.00,0.00,0.24,0.26,0.02,1.53,0.28,0.08,0.04,0.08,0.81,0.00,0.00,0.66,0.00,1.61,1.13,0.52,0.77,0.00,0.18,0.52,0.18,0.14,0.30,0.16,0.00,0.97,0.36,1.11,0.00,0.02,0.44,0.12,0.00,0.00,0.00,0.14,0.00,0.16,0.52,0.08,0.00,0.66,0.06,0.04,0.60,0.06,0.00,0.12,0.64,0.14,1.69,0.91,0.00,1.85,0.22,0.50,1.75,1.11,0.02,0.22,0.48,0.00,0.00,0.56,0.04,0.20,0.00,0.26,0.00,0.40,0.00,0.52,0.00,1.13,0.97,1.07,0.14,0.24,0.18,0.12,0.00,0.00,0.85,0.02,0.20,0.04,0.00
17/iii,3.05,3.36,6.63,1.28,1.37,0.56,0.12,0.31,0.00,0.09,0.53,0.40,4.95,1.68,4.45,1.56,0.50,2.24,0.06,0.06,0.12,0.68,0.34,0.44,0.59,0.25,0.09,0.75,0.34,0.28,1.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,1.31,1.46,2.77,0.31,2.08,0.09,0.00,0.00,1.80,1.93,0.06,0.47,0.03,0.56,1.62,0.19,0.00,0.00,0.00,0.37,0.00,0.00,0.03,0.47,1.74,0.00,0.03,0.12,0.06,0.72,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.22,1.34,0.47,0.47,0.25,2.30,0.16,0.09,0.72,0.03,0.16,0.44,1.06,0.93,0.03,0.00,0.00,0.00,0.03,0.19,1.09,0.25,0.44,0.03,0.90,0.03,1.28,0.31,0.31,0.00,1.24,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.00,0.06,0.09,0.06,0.00,0.00,0.06,0.00,0.00,0.00,0.78,0.40,0.50,1.09,0.03,0.03,0.62,0.03,1.21,0.12,1.74,0.06,0.06,0.16,0.56,0.34,0.00,0.00,0.06,0.12,0.00,0.00,0.00,0.00,0.00,2.43,0.09,0.12,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.47,0.25,1.00,0.03,0.40,0.47,0.16,0.16,0.00,0.19,0.47,0.00,1.03,0.00,0.06,0.00,0.40,0.12,0.00,0.00,0.06,0.00,0.00,0.00,0.06,0.00,0.00,0.06,1.93,0.28,1.43,0.00,0.53,0.19,0.68,0.00,0.06,0.00,0.00,0.00,1.56,0.12,0.37,0.22,0.37,0.16,1.59,0.56
17/ii,1.83,1.62,2.56,1.62,3.87,0.14,0.41,0.48,0.14,2.04,0.59,0.07,0.41,0.76,1.00,0.90,0.76,1.69,0.38,0.86,1.00,0.69,0.52,1.97,0.31,0.59,0.73,0.28,0.31,0.24,1.00,0.17,0.03,0.24,0.03,0.00,0.24,0.03,0.17,0.00,0.03,0.62,0.45,0.48,0.97,1.21,0.14,0.17,0.35,0.66,0.28,0.52,1.66,0.03,0.24,1.04,0.55,0.17,0.00,0.14,1.00,0.03,0.66,0.86,0.79,0.07,0.35,0.14,0.41,0.17,0.14,0.00,0.10,0.24,0.10,0.00,0.03,0.00,0.03,1.38,0.48,0.52,0.93,0.55,0.14,0.00,0.69,0.03,0.14,1.62,0.10,0.17,0.07,0.52,0.00,0.21,0.59,0.03,0.52,0.45,0.35,1.48,0.00,0.00,0.24,0.14,0.35,0.07,0.14,0.73,0.45,0.07,1.45,0.03,0.03,0.24,0.73,0.21,0.14,0.00,0.10,0.07,0.28,0.03,0.17,0.35,0.00,0.00,0.00,0.62,0.28,1.00,0.45,0.07,0.21,1.52,0.07,2.07,0.00,0.28,1.14,0.00,0.38,0.31,1.59,0.07,0.31,0.17,0.00,0.10,0.00,0.38,0.10,0.00,0.17,0.59,0.21,0.21,0.03,1.07,0.03,0.10,1.59,0.00,0.14,0.00,0.00,0.48,0.35,0.83,0.86,0.10,0.66,0.97,0.59,0.38,0.00,0.24,1.04,0.00,0.59,0.00,0.07,0.10,0.07,0.38,0.24,0.00,0.07,0.48,0.00,0.03,0.03,0.17,0.14,0.03,0.48,1.14,1.21,0.07,1.48,0.21,1.10,0.21,0.24,0.00,0.28,0.00,1.62,0.28,0.73,2.18,0.14,0.24,1.55,0.14
